SL No.,Ayurveda Term,Sentence where it appears,Classification
11,Pitta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 8 
 
20.5 How To Observe Pitta Dosha Imbalance Symptoms In Your Body 
By Yourself?",Symptom
12,Kapha,"20.6  How To Observe Kapha Dosha Imbalance Symptoms In Your Body 
By Yourself?",Symptom
13,Vata,20.7 How To Balance Vata Dosha?,Symptom
14,Pitta,"Line Of Treatment And Reasoning 
20.8 How To Balance Pitta Dosha?",Symptom
15,Kapha,"Line Of Treatment 
20.9 Activities And Diet For Kapha Balance 
21st Chapter - Ashtau Ninditeeya Adhyaya - Weight Loss, Weight Gain 
Treatment, Sleep  
 
21.1 Get Rid Of Sedentary Lifestyle – Solutions That Actually Work 
21.2 Effective Obesity Treatment, Remedies And Ayurveda Tips 
21.3 Healthy tips to put on weight, to become fat – Ayurvedic methods 
and remedies 
21.4 What Is The Right Time To Sleep?",Symptom
16,Vata,"From him, the sacred knowledge of Ayurveda was 
passed on to Ashwini Kumaras (Ashwini twins who are considered as Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 12 
 
doctors for Devatas (divine souls).",Symptom
17,Vata,"[3-5] 
विघ्नभूता यदा रोगाः प्रादुभूघताः शरीररणाम्|  
तपोपिासाध्ययनब्रह्मचयघव्रतायुिाम् ||६||  
तदा भूतेष्िनुक्रोशं पुरस्कृत्य महिघयः|  
समेताः पुण्यकमाघणः पाश्वे हहमितः शुभे||७|| 
अङ्गगरा जमदन्ननश्च िससष्ठः कश्यपो भृगुः|  
आत्रेयो गौतमः साङ्ख्यः पुलस्त्यो नारदोऽससतः||८||  
अगस्त्यो िामदेिश्च माकघण्डेयाश्वलायनौ|  
पाररक्षिसभघिुरात्रेयो भरद्वाजः कवपञ्ज
(
ष्ठ
)
लः
||९||  
विश्वासमत्राश्मरथ्यौ च भागघिश्च्यिनोऽसभन्जत्|  
गानयघः शान्ण्डल्यकौन्ण्डल्यौ
(
वयौ
)
िाक्षिघदेिलगालिौ
||१०||  
साङ्कृत्यो बैजिावपश्च कुसशको बादरायणः|  
बडडशः शरलोमा च काप्यकात्यायनािुभौ||११||  
काङ्कायनः कैकशेयो धौम्यो मारीचकाश्यपौ|  
शकघरािो हहरण्यािो लोकािः पैङ्गगरेि च||१२||  
शौनकः शाकुनेयश्च मैत्रेयो मैमतायतनः|  
िैिानसा िालखिल्यास्तथा चावये महिघयः||१३||  
ब्रह्मज्ञानस्य तनधयो द
(
य
)
मस्य
 तनयमस्य च|  
तपसस्तेजसा दीप्ता हूयमाना इिाननयः||१४|| 
vighnabhūtā yadā rogāḥ prādurbhūtāḥ śarīriṇām|  
tapopavāsādhyayanabrahmacaryavratāyuṣām ||6||  
tadā bhūteṣvanukrośaṃ puraskṛtya maharṣayaḥ|  
sametāḥ puṇyakarmāṇaḥ pārśve himavataḥ śubhe||7|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 13 
 
aṅgirā jamadagniśca vasiṣṭhaḥ kaśyapo bhṛguḥ|  
ātreyo gautamaḥ sāṅkhyaḥ pulastyo nārado'sitaḥ||8||  
agastyo vāmadevaśca mārkaṇḍeyāśvalāyanau|  
pārikṣirbhikṣurātreyo bharadvājaḥ kapiñja(ṣṭha)laḥ||9||  
viśvāmitrāśmarathyau ca bhārgavaścyavano'bhijit|  
gārgyaḥ śāṇḍilyakauṇḍilyau(nyau)vārkṣirdevalagālavau||10||  
sāṅkṛtyo baijavāpiśca kuśiko bādarāyaṇaḥ|  
baḍiśaḥ śaralomā ca kāpyakātyāyanāvubhau||11||  
kāṅkāyanaḥ kaikaśeyo dhaumyo mārīcakāśyapau|  
śarkarākṣo hiraṇyākṣo lokākṣaḥ paiṅgireva ca||12||  
śaunakaḥ śākuneyaśca maitreyo maimatāyaniḥ|  
vaikhānasā vālakhilyāstathā cānye maharṣayaḥ||13||  
brahmajñānasya nidhayo da(ya)masya niyamasya ca|  
tapasastejasā dīptā hūyamānā ivāgnayaḥ||14|| 
In ancient times, sages were desirous of having long life so that they can 
perform religious practices, Brahmacharya, sacred studies, Upavasa 
(fasting), Yama and Niyama (rules of auspicious living), Homa etc spiritual 
activities.",Symptom
18,Vata,"and Lord Agnivesha went on to write Charaka Samhita, which was later 
refined by Charaka and Drudabala] 
हेतुसलङ्गौिधज्ञानं स्िस्थातुरपरायणम्|  
त्रत्रसूत्रं शाश्वतं पुण्यं बुबुधे यं वपतामहः||२४|| 
hetuliṅgauṣadhajñānaṃ svasthāturaparāyaṇam|  
trisūtraṃ śāśvataṃ puṇyaṃ bubudhe yaṃ pitāmahaḥ||24|| 
Indra expounded the immortal and sacred science of life (Ayurveda) 
consisting of three principles viz., 
Hetu – causative factors of disease 
Linga – symptomatology 
Aushadha Jnana – knowledge of therapeutics, treatments and medicines.",Symptom
19,Kapha,"For example, Kapha 
dosha has oiliness.",Symptom
20,Kapha,"and if we take oily food, Kapha dosha increases in the 
body.",Symptom
21,Kapha,"[44 - 45] 
For example, Dryness is opposite to Kapha Dosha.",Symptom
22,Kapha,"If we eat foods having 
dryness, it decreases the Kapha Dosha 
Tridanda – Mind, Soul and Body 
सत्त्िमात्मा शरीरं च त्रयमेतन्त्त्रदण्डित्|  
लोकन्स्तष्ठतत संयोगात्तत्र सिं प्रततवष्ठतम्||४६||  
स पुमांश्चेतनं तच्च तच्चागधकरणं स्मृतम्|  
िेदस्यास्य, तदथं हह िेदोऽयं सम्प्रकासशतः||४७|| 
sattvamātmā śarīraṃ ca trayametattridaṇḍavat|  
lokastiṣṭhati saṃyogāttatra sarvaṃ pratiṣṭhitam||46||  
sa pumāṃścetanaṃ tacca taccādhikaraṇaṃ smṛtam| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 24 
 
vedasyāsya, tadarthaṃ hi vedo'yaṃ samprakāśitaḥ||47|| 
Tridanda – Satva (Mind), Atma (soul) and Shareera (body) – these three 
are Tripods of life.",Symptom
23,Vata,"[51] For example, ghee (matter) has 
oiliness (quality) and decreases Vata (action).",Symptom
24,Vata,"The Vata decrease action is done 
by the ghee (matter).",Symptom
25,Pitta,"[56] 
Physical and mental Doshas – 
िायुः वपत्तं कफश्चोक्तः शारीरो दोिसङ्ग्रहः|  
मानसः पुनरुहिष्ो रजश्च तम एि च||५७|| 
vāyuḥ pittaṃ kaphaścoktaḥ śārīro doṣasaṅgrahaḥ|  
mānasaḥ punaruddiṣṭo rajaśca tama eva ca||57|| 
Pathogenic factors in the body are Vayu (Vata), Pitta and Kapha 
Mental Doshas are Rajas and Tamas.",Symptom
26,Vata,"[56] 
Physical and mental Doshas – 
िायुः वपत्तं कफश्चोक्तः शारीरो दोिसङ्ग्रहः|  
मानसः पुनरुहिष्ो रजश्च तम एि च||५७|| 
vāyuḥ pittaṃ kaphaścoktaḥ śārīro doṣasaṅgrahaḥ|  
mānasaḥ punaruddiṣṭo rajaśca tama eva ca||57|| 
Pathogenic factors in the body are Vayu (Vata), Pitta and Kapha 
Mental Doshas are Rajas and Tamas.",Symptom
27,Kapha,"[56] 
Physical and mental Doshas – 
िायुः वपत्तं कफश्चोक्तः शारीरो दोिसङ्ग्रहः|  
मानसः पुनरुहिष्ो रजश्च तम एि च||५७|| 
vāyuḥ pittaṃ kaphaścoktaḥ śārīro doṣasaṅgrahaḥ|  
mānasaḥ punaruddiṣṭo rajaśca tama eva ca||57|| 
Pathogenic factors in the body are Vayu (Vata), Pitta and Kapha 
Mental Doshas are Rajas and Tamas.",Symptom
28,Pitta,"[57] Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 31 
 
प्रशाम्यत्यौिधैः पूिो दैियुडक्तव्यपाश्रयैः|  
मानसो ज्ञानविज्ञानधैयघस्मृततसमागधसभः||५८|| 
praśāmyatyauṣadhaiḥ pūrvo daivayuktivyapāśrayaiḥ|  
mānaso jñānavijñānadhairyasmṛtisamādhibhiḥ||58|| 
Three types of treatments for these two types of Doshas – 
The physical Doshas – Vata, Pitta and Kapha are balanced by 
a.",Symptom
29,Vata,"[57] Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 31 
 
प्रशाम्यत्यौिधैः पूिो दैियुडक्तव्यपाश्रयैः|  
मानसो ज्ञानविज्ञानधैयघस्मृततसमागधसभः||५८|| 
praśāmyatyauṣadhaiḥ pūrvo daivayuktivyapāśrayaiḥ|  
mānaso jñānavijñānadhairyasmṛtisamādhibhiḥ||58|| 
Three types of treatments for these two types of Doshas – 
The physical Doshas – Vata, Pitta and Kapha are balanced by 
a.",Symptom
30,Kapha,"[57] Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 31 
 
प्रशाम्यत्यौिधैः पूिो दैियुडक्तव्यपाश्रयैः|  
मानसो ज्ञानविज्ञानधैयघस्मृततसमागधसभः||५८|| 
praśāmyatyauṣadhaiḥ pūrvo daivayuktivyapāśrayaiḥ|  
mānaso jñānavijñānadhairyasmṛtisamādhibhiḥ||58|| 
Three types of treatments for these two types of Doshas – 
The physical Doshas – Vata, Pitta and Kapha are balanced by 
a.",Symptom
31,Pitta,"Hence it is called 
Satva Avajaya Chikitsa  [58] 
Qualities of Vata Dosha – 
रूिः शीतो लर्ुः सूक्ष्मश्चलोऽथ विशदः िरः|  
विपरीतगुणैरघव्यैमाघरुतः सम्प्रशाम्यतत||५९||  
सस्नेहमुष्णं तीक्ष्णं च रिमम्लं सरं कटु|  
विपरीतगुणैः वपत्तं रव्यैराशु प्रशाम्यतत||६०||  
गुरुशीतमृदुन्स्ननधमधुरन्स्थरवपन्च्छलाः|  
श्लेष्मणः प्रशमं यान्वत विपरीतगुणैगुघणाः||६१|| 
rūkṣaḥ śīto laghuḥ sūkṣmaścalo'tha viśadaḥ kharaḥ|  
viparītaguṇairdravyairmārutaḥ sampraśāmyati||59||  
sasnehamuṣṇaṃ tīkṣṇaṃ ca dravamamlaṃ saraṃ kaṭu|  
viparītaguṇaiḥ pittaṃ dravyairāśu praśāmyati||60|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 32 
 
guruśītamṛdusnigdhamadhurasthirapicchilāḥ|  
śleṣmaṇaḥ praśamaṃ yānti viparītaguṇairguṇāḥ||61||   
Qualities of Vata Dosha - Rooksha (rough), Sheeta (cool), Laghu (light), 
Sookshma (subtle, minute), Chala – mobile, Vishada – clarity, non-slimy 
and Khara (coarse) are the qualities of Vata.",Symptom
32,Vata,"Hence it is called 
Satva Avajaya Chikitsa  [58] 
Qualities of Vata Dosha – 
रूिः शीतो लर्ुः सूक्ष्मश्चलोऽथ विशदः िरः|  
विपरीतगुणैरघव्यैमाघरुतः सम्प्रशाम्यतत||५९||  
सस्नेहमुष्णं तीक्ष्णं च रिमम्लं सरं कटु|  
विपरीतगुणैः वपत्तं रव्यैराशु प्रशाम्यतत||६०||  
गुरुशीतमृदुन्स्ननधमधुरन्स्थरवपन्च्छलाः|  
श्लेष्मणः प्रशमं यान्वत विपरीतगुणैगुघणाः||६१|| 
rūkṣaḥ śīto laghuḥ sūkṣmaścalo'tha viśadaḥ kharaḥ|  
viparītaguṇairdravyairmārutaḥ sampraśāmyati||59||  
sasnehamuṣṇaṃ tīkṣṇaṃ ca dravamamlaṃ saraṃ kaṭu|  
viparītaguṇaiḥ pittaṃ dravyairāśu praśāmyati||60|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 32 
 
guruśītamṛdusnigdhamadhurasthirapicchilāḥ|  
śleṣmaṇaḥ praśamaṃ yānti viparītaguṇairguṇāḥ||61||   
Qualities of Vata Dosha - Rooksha (rough), Sheeta (cool), Laghu (light), 
Sookshma (subtle, minute), Chala – mobile, Vishada – clarity, non-slimy 
and Khara (coarse) are the qualities of Vata.",Symptom
33,Pitta,"Qualities of Pitta Dosha – Sneha (unctuous), Ushna (hot), Teekshna 
(sharp, piercing), Drava (liquid), Amla (sour), Sara (fluidity) and Katu 
(pungent) are Pitta’s qualities.",Symptom
34,Kapha,"Qualities of Kapha are – Guru (heavy), Sheeta (cool), Mrudu (soft), 
Snigdhna (unctuous, oily) Madhura (sweet), Sthira (immobile) and Picchila 
(slimy) [59-61] 
विपरीतगुणैदेशमात्राकालोपपाहदतैः|  
भेिजैविघतनितघवते विकाराः साध्यसम्मताः||६२||  
साधनं न त्िसाध्यानां व्याधीनामुपहदश्यते|६३| 
viparītaguṇairdeśamātrākālopapāditaiḥ|  
bheṣajairvinivartante vikārāḥ sādhyasammatāḥ||62||  
sādhanaṃ na tvasādhyānāṃ vyādhīnāmupadiśyate|63| 
Principle of Tridosha Balance – The curable diseases are cured by 
medicines possessing opposite qualities, when administered with due Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 33 
 
regard to the place, dose and time.",Symptom
35,Pitta,"[65] 
स्िाद्वम्ललिणा िायुं, किायस्िादुततक्तकाः|  
जयन्वत वपत्तं, श्लेष्माणं किायकटुततक्तकाः||६६||  
(कट्िम्ललिणाः वपत्तं, स्िाद्वम्ललिणाः कफम्|  
कटुततक्तकिायाश्च कोपयन्वत समीरणम् ||१||)| 
svādvamlalavaṇā vāyuṃ, kaṣāyasvādutiktakāḥ|  
jayanti pittaṃ, śleṣmāṇaṃ kaṣāyakaṭutiktakāḥ||66||  
(kaṭvamlalavaṇāḥ pittaṃ, svādvamlalavaṇāḥ kapham|  
kaṭutiktakaṣāyāśca kopayanti samīraṇam ||1||)| 
Medicines and food having sweet, sour and saline taste balance Vata; 
Those having astringent, sweet and bitter (taste) balance Pitta and 
those having astringent, pungent and bitter tastes balance Kapha.",Symptom
36,Vata,"[65] 
स्िाद्वम्ललिणा िायुं, किायस्िादुततक्तकाः|  
जयन्वत वपत्तं, श्लेष्माणं किायकटुततक्तकाः||६६||  
(कट्िम्ललिणाः वपत्तं, स्िाद्वम्ललिणाः कफम्|  
कटुततक्तकिायाश्च कोपयन्वत समीरणम् ||१||)| 
svādvamlalavaṇā vāyuṃ, kaṣāyasvādutiktakāḥ|  
jayanti pittaṃ, śleṣmāṇaṃ kaṣāyakaṭutiktakāḥ||66||  
(kaṭvamlalavaṇāḥ pittaṃ, svādvamlalavaṇāḥ kapham|  
kaṭutiktakaṣāyāśca kopayanti samīraṇam ||1||)| 
Medicines and food having sweet, sour and saline taste balance Vata; 
Those having astringent, sweet and bitter (taste) balance Pitta and 
those having astringent, pungent and bitter tastes balance Kapha.",Symptom
37,Kapha,"[65] 
स्िाद्वम्ललिणा िायुं, किायस्िादुततक्तकाः|  
जयन्वत वपत्तं, श्लेष्माणं किायकटुततक्तकाः||६६||  
(कट्िम्ललिणाः वपत्तं, स्िाद्वम्ललिणाः कफम्|  
कटुततक्तकिायाश्च कोपयन्वत समीरणम् ||१||)| 
svādvamlalavaṇā vāyuṃ, kaṣāyasvādutiktakāḥ|  
jayanti pittaṃ, śleṣmāṇaṃ kaṣāyakaṭutiktakāḥ||66||  
(kaṭvamlalavaṇāḥ pittaṃ, svādvamlalavaṇāḥ kapham|  
kaṭutiktakaṣāyāśca kopayanti samīraṇam ||1||)| 
Medicines and food having sweet, sour and saline taste balance Vata; 
Those having astringent, sweet and bitter (taste) balance Pitta and 
those having astringent, pungent and bitter tastes balance Kapha.",Symptom
38,Pitta,"[67] 
Another three types of substances (Dravya) – 
तत् पुनन्स्त्रविधं प्रोक्तं जङ्गमौतद्भदपागथघिम् |  
मधूतन गोरसाः वपत्तं िसा मज्जाऽसृगासमिम्||६८||  
विण्मूत्रचमघरेतोऽन्स्थस्नायुशृङ्गनिाः िुराः|  
जङ्गमेभयः प्रयुज्यवते केशा लोमातन रोचनाः||६९||  
सुिणं समलाः पञ्च लोहाः सससकताः सुधा|  
मनःसशलाले मणयो लिणं गैररकाञ्जने||७०||  
भौममौिधमुहिष्मौतद्भदं तु चतुविघधम्|  
िनस्पततस्तथा िीरुद्वानस्पत्यस्तथौिगधः||७१||  
फलैिघनस्पततः पुष्पैिाघनस्पत्यः फलैरवप|  
ओिध्यः फलपाकावताः प्रतानैिीरुधः स्मृताः||७२||  
मूलत्िक्तसारतनयाघसनाल)ड(स्िरसपल्लिाः|  
िाराः िीरं फलं पुष्पं भस्म तैलातन कण्टकाः||७३||  
पत्राखण शुङ्गाः कवदाश्च प्ररोहाश्चौतद्भदो गणः|७४| 
 
tat punastrividhaṃ proktaṃ jaṅgamaudbhidapārthivam |  
madhūni gorasāḥ pittaṃ vasā majjā'sṛgāmiṣam||68||  
viṇmūtracarmareto'sthisnāyuśṛṅganakhāḥ khurāḥ|  
jaṅgamebhyaḥ prayujyante keśā lomāni rocanāḥ||69||  
suvarṇaṃ samalāḥ pañca lohāḥ sasikatāḥ sudhā|  
manaḥśilāle maṇayo lavaṇaṃ gairikāñjane||70|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 36 
 
bhaumamauṣadhamuddiṣṭamaudbhidaṃ tu caturvidham|  
vanaspatistathā vīrudvānaspatyastathauṣadhiḥ||71||  
phalairvanaspatiḥ puṣpairvānaspatyaḥ phalairapi|  
oṣadhyaḥ phalapākāntāḥ pratānairvīrudhaḥ smṛtāḥ||72||  
mūlatvaksāraniryāsanāla(ḍa)svarasapallavāḥ|  
kṣārāḥ kṣīraṃ phalaṃ puṣpaṃ bhasma tailāni kaṇṭakāḥ||73||  
patrāṇi śuṅgāḥ kandāśca prarohāścaudbhido gaṇaḥ|74| 
Another three types of substances (Dravya) – 
Jangama - those of animal origin.",Symptom
39,Pitta,"[ 80-86] 
4 types of fat substances:  
सवपघस्तैलं िसा मज्जा स्नेहो हदष्श्चतुविघधः ||८६||  
पानाभयञ्जनबस्त्यथं नस्याथं चैि योगतः| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 42 
 
स्नेहना जीिना िण्याघ बलोपचयिधघनाः||८७||  
स्नेहा ह्येते च विहहता िातवपत्तकफापहाः|८८| 
sarpistailaṃ vasā majjā sneho diṣṭaścaturvidhaḥ ||86||  
pānābhyañjanabastyarthaṃ nasyārthaṃ caiva yogataḥ|  
snehanā jīvanā varṇyā balopacayavardhanāḥ||87||  
snehā hyete ca vihitā vātapittakaphāpahāḥ|88| 
Four varieties of fat are ghee, oil, muscle-fat and marrow.",Symptom
40,Pitta,"All these 
varieties of fat add to the unctuousness, invigoration, luster, strength, 
corpulence (of the body) and alleviate Vata, Pitta and Kapha.",Symptom
41,Vata,"All these 
varieties of fat add to the unctuousness, invigoration, luster, strength, 
corpulence (of the body) and alleviate Vata, Pitta and Kapha.",Symptom
42,Kapha,"All these 
varieties of fat add to the unctuousness, invigoration, luster, strength, 
corpulence (of the body) and alleviate Vata, Pitta and Kapha.",Symptom
43,Vata,"They 
are also used for anointment, causing unctuousness, fomentation, 
purgation, emesis, Niruha, Anuvasana (types of enema – basti treatment), 
massage, intake, elimination (of Doshas) from the head, surgical measures, 
suppositories, collyrium, unction, and also for the correction of indigestion, 
constipation, treatment of diseases due to Vata, Gulma (abdominal 
tumour), Shoola (colic pain) and Udara (abdominal diseases including 
ascitis).",Symptom
